108.162.198.75:443#🇯🇵 东京成田(NRT)-11.26MB/s(90Mbps)-IPv4
108.162.198.182:443#🇯🇵 东京成田(NRT)-6.37MB/s(51Mbps)-IPv4
104.21.230.125:443#🇺🇸 洛杉矶(LAX)-6.34MB/s(51Mbps)-IPv4
172.64.150.104:443#🇸🇬 新加坡(SIN)-6.33MB/s(51Mbps)-IPv4
104.16.114.31:443#🇺🇸 洛杉矶(LAX)-6.30MB/s(50Mbps)-IPv4
108.162.194.194:443#🇸🇬 新加坡(SIN)-6.19MB/s(50Mbps)-IPv4
162.159.41.221:443#🇸🇬 新加坡(SIN)-6.05MB/s(48Mbps)-IPv4
108.162.194.135:443#🇸🇬 新加坡(SIN)-6.00MB/s(48Mbps)-IPv4
162.159.39.108:443#🇯🇵 东京成田(NRT)-5.95MB/s(48Mbps)-IPv4
162.159.253.169:443#🇺🇸 洛杉矶(LAX)-5.88MB/s(47Mbps)-IPv4
173.245.59.142:443#🇸🇬 新加坡(SIN)-5.86MB/s(47Mbps)-IPv4
104.18.33.168:443#🇸🇬 新加坡(SIN)-5.79MB/s(46Mbps)-IPv4
108.162.198.45:443#🇯🇵 东京成田(NRT)-5.75MB/s(46Mbps)-IPv4
104.16.118.7:443#🇺🇸 洛杉矶(LAX)-5.70MB/s(46Mbps)-IPv4
162.159.255.39:443#🇺🇸 洛杉矶(LAX)-5.64MB/s(45Mbps)-IPv4
108.162.193.187:443#🇸🇬 新加坡(SIN)-5.63MB/s(45Mbps)-IPv4
104.16.113.77:443#🇺🇸 洛杉矶(LAX)-5.59MB/s(45Mbps)-IPv4
173.245.59.147:443#🇸🇬 新加坡(SIN)-5.57MB/s(45Mbps)-IPv4
108.162.198.93:443#🇯🇵 东京成田(NRT)-5.56MB/s(44Mbps)-IPv4
104.21.233.219:443#🇺🇸 洛杉矶(LAX)-5.53MB/s(44Mbps)-IPv4
103.31.4.171:443#🇺🇸 丹佛(DEN)-5.48MB/s(44Mbps)-IPv4
104.21.233.92:443#🇺🇸 洛杉矶(LAX)-5.39MB/s(43Mbps)-IPv4
172.67.227.111:443#🇳🇱 阿姆斯特丹(AMS)-5.27MB/s(42Mbps)-IPv4
104.19.245.163:443#🇺🇸 洛杉矶(LAX)-5.26MB/s(42Mbps)-IPv4
173.245.59.59:443#🇸🇬 新加坡(SIN)-5.26MB/s(42Mbps)-IPv4
103.31.4.206:443#🇺🇸 丹佛(DEN)-5.19MB/s(42Mbps)-IPv4
188.114.98.150:443#🇳🇱 阿姆斯特丹(AMS)-5.18MB/s(41Mbps)-IPv4
173.245.58.244:443#🇸🇬 新加坡(SIN)-5.10MB/s(41Mbps)-IPv4
162.159.19.110:443#🇸🇬 新加坡(SIN)-5.10MB/s(41Mbps)-IPv4
108.162.193.230:443#🇸🇬 新加坡(SIN)-5.07MB/s(41Mbps)-IPv4
173.245.59.41:443#🇸🇬 新加坡(SIN)-5.06MB/s(40Mbps)-IPv4
162.159.250.136:443#🇺🇸 洛杉矶(LAX)-5.03MB/s(40Mbps)-IPv4
173.245.58.45:443#🇸🇬 新加坡(SIN)-4.99MB/s(40Mbps)-IPv4
104.18.114.29:443#🇺🇸 洛杉矶(LAX)-4.91MB/s(39Mbps)-IPv4
172.64.50.216:443#🇸🇬 新加坡(SIN)-4.79MB/s(38Mbps)-IPv4
104.19.245.199:443#🇺🇸 洛杉矶(LAX)-4.76MB/s(38Mbps)-IPv4
198.41.223.48:443#🇸🇬 新加坡(SIN)-4.72MB/s(38Mbps)-IPv4
173.245.58.142:443#🇸🇬 新加坡(SIN)-4.66MB/s(37Mbps)-IPv4
103.31.4.133:443#🇺🇸 丹佛(DEN)-4.55MB/s(36Mbps)-IPv4
162.159.254.187:443#🇺🇸 洛杉矶(LAX)-4.54MB/s(36Mbps)-IPv4
173.245.59.53:443#🇸🇬 新加坡(SIN)-4.53MB/s(36Mbps)-IPv4
162.159.23.202:443#🇸🇬 新加坡(SIN)-4.51MB/s(36Mbps)-IPv4
173.245.59.143:443#🇸🇬 新加坡(SIN)-4.48MB/s(36Mbps)-IPv4
108.162.196.110:443#🇸🇬 新加坡(SIN)-4.47MB/s(36Mbps)-IPv4
172.64.184.67:443#🇳🇱 阿姆斯特丹(AMS)-4.39MB/s(35Mbps)-IPv4
173.245.58.210:443#🇸🇬 新加坡(SIN)-4.32MB/s(35Mbps)-IPv4
104.24.135.121:443#🇩🇪 法兰克福(FRA)-4.27MB/s(34Mbps)-IPv4
162.159.254.122:443#🇺🇸 洛杉矶(LAX)-4.24MB/s(34Mbps)-IPv4
173.245.58.77:443#🇸🇬 新加坡(SIN)-4.15MB/s(33Mbps)-IPv4
103.31.4.154:443#🇺🇸 丹佛(DEN)-4.09MB/s(33Mbps)-IPv4
172.67.187.115:443#🇳🇱 阿姆斯特丹(AMS)-4.08MB/s(33Mbps)-IPv4
104.18.115.226:443#🇺🇸 洛杉矶(LAX)-4.06MB/s(32Mbps)-IPv4
162.159.41.153:443#🇸🇬 新加坡(SIN)-4.05MB/s(32Mbps)-IPv4
188.114.98.53:443#🇳🇱 阿姆斯特丹(AMS)-4.01MB/s(32Mbps)-IPv4
